,DOCS
86910,simplesmente ótima
86912,muito satisfeito compra entrega muito antes prazo combinado
86915,perfeito
86916,Veio antes prazo pro duto correto ótima qualidade
86917,Comprei produto caro chegou defeito relógio questão não fechava feixe Tive levar arrumar Não recomendo lannister online mais
86921,Não cumpriu prazo produto não chegou
86922,PRODUTO ENTREGUE DENTRO PRAZO BEM EMBALADO
86924,gostei muito só achei confirmação pagamento demorarão muito postar produto
86926,vendedor não cumprindo prazos entrega Não irei mais comprar mesmo
86932,Sempre comprei muito problemas antes não tinha Solicito receber produto quanto antes
86933,Produto muito bom não coube notebook apesar seguir medidas informadas venda Demora atualização informações até entrega
86934,recomendo
86935,pacote mercadoria bem fechado avaria bem antes prazo
86937,Parabéns trabalho
86941,aguardando entrega meses ainda envia email perguntado recebimento caso nao respondemos sera considerado entregue
86942,Fiz compra produto postado pouco tempo fora entrega muito rápida além bem embalado Recomendo
86944,Produto excelente
86946,surpreendente
86948,Até hoje não recebi produto fazer reclamação Procon procurar direitos
86952,Excelente vendedor produto chegou antes prazo esperado
86954,Comprei pendrive USB veio versão Tentei realizar troca mesmo através site lannistercom não tive êxito até problema targaryen lannister
86955,recebi antes prazo recomendo
86956,comprei produtos recebi apenas
86966,Ótimo produto excelente qualidade proteger bem smartphone essencial
86967,único etiqueta deveria marcar meio tecido lugar errado produto atende expectativas
86968,Produto muito excelente Entrega antes prazo dentro combinado
86971,dentro esperado Recomendo
86975,Muito boomentrega bem antes data prevista
86977,Comprei unidades só chegou
86979,Produto entregue bem antes praso
86984,entrega super rápido
86985,como sempre
86997,Satisfeito
86999,Comprei ducha higiênica idêntica comprada há anos acho não ano
87001,Entrega rápida ótimo produto
87004,unico prolema produto não veio manual instruções
87007,Entrega dentro prazo satisfeita baratheon
87009,FALTANDO JOGO ROUPA DE CAMA SO RECEBIAS FRONHAS AVULSAS RESTANTE DOE COMPRA
87012,peoduto veio defeito
87013,produto chegou antes data prevista
87018,Excelente
87019,Gostei produto realmente comprei lojja recomendo
87020,Sim recomendo produto enviado dentro prazo
87021,Comprei dia previsão entrega até querendo cancelar compra agora informaram somente entrei contato dia senão esperando até agora Lamentáve
87025,Entrega rápida
87029,super recomendo
87030,prazo entrega produto já venceu não tenho retorno fornecedor não mais rastrealo
87032,Otimo produto Chegou antes prazo
87033,Amei produto Chegou antes prazo Parabéns comprometimento Até pxm compra
87035,Comprei produto reais recebi completamente reais absurdo
87036,produto entregue bem antes prazoeu recomendo deu produto ótima qualidade
87043,quando comprei não atentei fone apenas pensei parveio apenas lado fone blz
87044,PRODUTO INCORRETO ALEM DE VIM TROCADO VEIO DE VALOR MENOR COMPREI KIT ANNY CASAL PEÇAS COM FRONHAS EM FORMA DE CORAÇÃO NA CORCÁQUI VEIO COLCHA CASAL ANNE PEÇAS BORDADA
87045,produto não chegou
87049,Recedi produto modelo diferente comprei
87050,vazia gfs vazando ano passado fiz compra veio confio
87053,Cortina linda boa qualidade ainda não estalei ja vi resolver problema luz brindex
87056,Recebi produto oque comprei nao consta estoque mesmo assim nao tiraram site
87057,ótimo produto superou expectativas
87059,Só acho frete poderia menir até gratis como aparece quando comprando quando finalizar compra entra facada frete
87060,produto chegou bem antes prazo final Quase não compro demorar interessante ajustar entrega Sei segurança muito exagerado
87061,funcionou perfeitamente
87064,Não recomendo Cancelei compra cobrada não obtive NENHUM retorno loja Quero devolver receber extorno
87065,Entrega chegou antes prazo Parabéns
87067,Muito bom gostei recomendo
87071,Muito boa loja rapido
87072,Kit quadros vieram medidas erradas Comprei medidas 52x33 Vieram mefidas 32x24
87073,110v meio fraca mais 220v como manda voltagem responde bem 😎
87074,produto nunca chegou
87075,Produto como apresenta site entrega tempo previsto muito bem embalado Enfim recomendo
87078,Compra fácil entrega rápida só frete acho deveria ter valor mais baixo
87081,correto produto péssima qualidade
87082,Adorei compra entrega antes prazo
87084,produto chegou muito antes prazo veio ótimas condições
87086,Bom
87087,Chegou antes prazo recomendo
87088,Recebi produto só mesmo não produto novo sim recondicionado acredito não tenha testado quando substituir entrou curto então tive comprar
87091,Produto conforme pedido fora prazo comprado dia produtos comprados site lannister cartão tinha passado única vez bloqueou
87097,Comprei kit itens coqueteleira whey baunilha creatina bcaa Black não recebi produto corretamente veio faltando itens caso crestina
87098,Entrega antes prazo ótimo produto
87099,satisfeito
87100,Previsão entrega mercadoria até agora status pedido dificuldade entrega produto ainda não chegou destino não receber até terça tomarei providênci
87102,Comprei achando cartucho original Canon Veio cartucho recarregável não original anúncio deveria mais claro
87103,MUITO BOM CHEGOU ANTES PRAZOAMEI
87104,Produto entregue perfeitas condições acho pacote deveria vir logo empresa resto bom
87105,lojas como sempre otima so 📺 nao muito nao conseguir resolver problema Internet nao pegou mais enfim lojas lannister nota
87107,Excelente atendimento Entregue antes prazo
87108,Produto chegou antes previsto Muito bem embalado certeza recomendo loja stark stark referência
87112,nota fiscal enviada Correios não transportadora não entregaram pacotes só recebendo realizar aplicação terei ter mais conforme pedido pagamento
87114,prazo já passou mais dias não recebi
87117,Não entegue
87120,certeza voltarei comprar loja
87121,Adorei produto
87125,até momento não recebi produto
87127,Muito bom so não testei ainda produto super recomendo
87128,Sempre bom compra stark
87129,boa compra
87132,Muito rápida entrega
87137,Muiita entrega produto Protu comprado até hoje não entregue
87140,Gostei entrega prazo
87143,Muito bom
87145,Produto entregue antes tempo previsto loja Parabéns
87150,Veio chegou mt antes certeza comprarei novamente
87151,Produto não entregue dentro prazo falta posicionamento produto vendedor não soube dizer houve produto
87153,Produto entregue antes prazo previsto Excelente site
87155,MUITO BOA NOTA
87156,So achei complicado veio desmontado nao dizia anuncio deu muito trabalho montar
87157,Ola recebi produto parcial recebi manta mais bolinha NAO
87158,Recebi dia atraso chegou funcionando perfeitamente
87173,defeito danificou imagem salvas perdi fotos
87174,Muito ruim
87178,Entrega bem antes Plazoe produto pedi
87185,veio só pedi produtos
87189,Já mandei varios emails reclamando entrega responde
87192,produto ja passou prazo até agora nao chegou
87195,ótimo produto ótima loja
87196,Já entrei contato varias vezes não dão retorno Fiz pedido dia até hoje dia não recebi encomenda verdadeira falta respeito
87201,satisfeita loja produto Compra rápida entrega antes prazo
87202,Produto chegou prazo manual como utiliza maquina manuel mesma Fiquei pouco insatisfeito ponto
87205,Passei dia casa noite ver status compra tava carteiro não atendido dia seguinte já disponível ir buscar correios tentativa depois correios
87206,Detestei cortina Totalmente diferente foto
87208,produto chegou muito antes prazo estipulado entrega
87210,Muito bom chegou antes prazo
87211,Boa tarde não recebido produto comprado informaram endereço não correto sim Então peço cancelem reembolsam mais rápido possível obrigada Denise Aparecida
87212,Recomendo
87215,satisfação compra entrega
87218,Ótimo antedimento como sempre
87219,Rápida entrega ótimo produto devolver devido engano tamanho
87221,Atendeu espectativas
87222,Produto bom vendedor confiável só pecou atraso entrega necessidade emails acompanhamento Compraria novo podem melhorar
87223,nao chegou produto aguardo resposta
87224,Chegou semanas antecedência
87225,pedido realizado dia até hoje não recebi
87227,Microfone nao tem desempenho esperado
87228,produto chegou bem antes prazo bem emalado problemas Recomendo
87230,Produto faz promete faz leitura erros apaga necessario chegou muito rapidono caso dias
87232,Produto muito bom loja excelente
87236,Parabens
87237,produto previsto chegar agosto recebi bem antes prazo sexta feira dia
87238,recomendo chego dentro prazo cheio produto bom suave
87240,pedidos não entregues
87241,Não recebi produto
87245,Faltou ter produtos realmente queria comprei falta opção
87247,BOM
87248,Não recebi produtoe ja mandei mensagem loja responde
87250,cadeira bem simples nova então não deu problema ainda bem barata faixa preço não poderia esperar melhor mesmo
87251,pedido entregue metade Absurdo Fora já tive pedido loja como entregue até agora não recebi não tenho posição ficou produto
87252,não recebi entrega ainda
87254,Produto entregue sucesso agora utilizar aferir qualidade dentro período garantia
87256,Gostei muito produto deveria mudar maneira embalar Veio bem protegido plástico bolha poderia caixa Assim mesmo super recomendo 😉
87258,Muito bom recomendo
87265,bom
87266,nota gerada ainda
87268,fiz compra cobertores loja manda só fiz reclamação até agora não atendida caso não atendida tomarei providências
87277,Recomendável confiável sempre compro aí parabéns
87278,targaryen parece único problema causou enorme nunca mais recuperar arquivos como dados importantes aplicativo apagou musicas principalmente fotos
87280,falta produto
87281,dentro prazo ótimo estado
87282,Só posso avaliar quando receber produto Ainda prazo entrega informado
87290,Recebi forma rápida gostei produto Recomendo loja Obrigada
87291,RECEBI MUITO ANTES PREVISTO
87292,Produto cfe combinado entrega bem antes prazo previsto
87293,Produto maravilhoso chegou antes imaginavá encomendo
87294,EXCELENTE
87300,produto bom acabamento tanto
87301,Produto chegou antes prazo Produto excelente Loja muito boa
87303,Produto perfeito entregue antes prazorecomendo loja
87304,Chegou certinho Amei
87305,PRODUTO ME FOI ENVIADO NAO CONFERE COM EU PEDI
87310,Entrega dentro prazo até antes Preços bons loja confiável Além produto real foto venda
87314,Continuem assim bom bem bom
87315,Produto corretoporém Avarias parte interna pés
87316,Chegou antes previsto ótimo produto
87317,aguardando encomenda
87320,BOM ACOMPANHAMENTO TIVE DIFICULDADE EM RECEBER PRODUTO
87322,FIZ COMPRAS APENAS DELAS ME FOI ENTREGUE RECEBI DERMACOL KIT SECA BARRIGA MESES NÃO ME FOI ENTREGUE AGUARDO RETORNO
87323,Chegou antes prazo produto exatamente pedido queria
87327,Produto pago vista não entregue
87329,Ótimos produtos excelente qualidade recomendo
87332,Comprei produto há mais dias úteis ainda não entregue
87334,Tem retirar correios muito incômodo
87335,Recebei bem antes prazo produto maravilhoso super recomendo
87336,entregue apenas película vendedor mandou carta junto explicando motivo Porem película nao serviu to tentando contato vendedor
87337,recebi produtos dentro prazo jogo copo igual comprei conjuntos taças estampa específica veio completamente diferente sinto insatisfeita frustada
87338,Qualidade produto deixa muuuuito desejar baratheon perfeito produto muito ruim não recomendo compra
87339,Recebi nome endereço pacote contendo pedido pessoa respectiva NF Pedi rodízios cadeira recebi pistão gás Trapalhada lamentável
87342,loja cancelou compra motivo não ter produto estoque
87344,Excelente
87346,otima
87348,Entregue bem antes prazo produto otimo recomendo como sempre cliente muito tempo
